TIME;Value
1996M01;69.40
1996M02;69.70
1996M03;70.00
1996M04;70.19
1996M05;70.37
1996M06;70.39
1996M07;70.28
1996M08;70.32
1996M09;70.53
1996M10;70.58
1996M11;70.61
1996M12;70.80
1997M01;70.92
1997M02;71.07
1997M03;71.19
1997M04;71.22
1997M05;71.43
1997M06;71.47
1997M07;71.45
1997M08;71.61
1997M09;71.74
1997M10;71.78
1997M11;71.87
1997M12;71.95
1998M01;71.83
1998M02;72.00
1998M03;72.13
1998M04;72.35
1998M05;72.54
1998M06;72.55
1998M07;72.47
1998M08;72.53
1998M09;72.58
1998M10;72.57
1998M11;72.58
1998M12;72.65
1999M01;72.52
1999M02;72.67
1999M03;72.95
1999M04;73.22
1999M05;73.30
1999M06;73.28
1999M07;73.26
1999M08;73.37
1999M09;73.50
1999M10;73.52
1999M11;73.61
1999M12;73.86
2000M01;73.75
2000M02;73.98
2000M03;74.24
2000M04;74.34
2000M05;74.46
2000M06;74.68
2000M07;74.66
2000M08;74.71
2000M09;75.09
2000M10;75.12
2000M11;75.28
2000M12;75.50
2001M01;75.12
2001M02;75.34
2001M03;75.72
2001M04;76.18
2001M05;76.58
2001M06;76.69
2001M07;76.44
2001M08;76.44
2001M09;76.67
2001M10;76.69
2001M11;76.62
2001M12;76.93
2002M01;76.96
2002M02;77.08
2002M03;77.50
2002M04;77.85
2002M05;77.99
2002M06;77.96
2002M07;77.85
2002M08;77.93
2002M09;78.14
2002M10;78.32
2002M11;78.27
2002M12;78.62
2003M01;78.50
2003M02;78.82
2003M03;79.25
2003M04;79.38
2003M05;79.34
2003M06;79.39
2003M07;79.28
2003M08;79.42
2003M09;79.71
2003M10;79.82
2003M11;79.84
2003M12;80.08
2004M01;79.84
2004M02;80.03
2004M03;80.47
2004M04;80.85
2004M05;81.16
2004M06;81.20
2004M07;81.03
2004M08;81.17
2004M09;81.27
2004M10;81.58
2004M11;81.56
2004M12;81.85
2005M01;81.42
2005M02;81.69
2005M03;82.21
2005M04;82.55
2005M05;82.75
2005M06;82.83
2005M07;82.77
2005M08;82.95
2005M09;83.33
2005M10;83.53
2005M11;83.38
2005M12;83.62
2006M01;83.28
2006M02;83.52
2006M03;83.92
2006M04;84.47
2006M05;84.76
2006M06;84.85
2006M07;84.76
2006M08;84.91
2006M09;84.95
2006M10;85.02
2006M11;85.08
2006M12;85.40
2007M01;85.03
2007M02;85.31
2007M03;85.83
2007M04;86.31
2007M05;86.54
2007M06;86.65
2007M07;86.42
2007M08;86.53
2007M09;86.85
2007M10;87.30
2007M11;87.75
2007M12;88.11
2008M01;87.92
2008M02;88.30
2008M03;89.04
2008M04;89.41
2008M05;89.97
2008M06;90.34
2008M07;90.26
2008M08;90.23
2008M09;90.48
2008M10;90.51
2008M11;90.17
2008M12;90.01
2009M01;89.46
2009M02;89.93
2009M03;90.25
2009M04;90.55
2009M05;90.72
2009M06;90.90
2009M07;90.48
2009M08;90.74
2009M09;90.77
2009M10;90.95
2009M11;91.10
2009M12;91.39
2010M01;90.94
2010M02;91.24
2010M03;92.07
2010M04;92.47
2010M05;92.60
2010M06;92.64
2010M07;92.38
2010M08;92.56
2010M09;92.81
2010M10;93.09
2010M11;93.23
2010M12;93.83
2011M01;93.44
2011M02;93.88
2011M03;94.90
2011M04;95.48
2011M05;95.56
2011M06;95.51
2011M07;95.10
2011M08;95.30
2011M09;95.90
2011M10;96.20
2011M11;96.35
2011M12;96.68
2012M01;96.14
2012M02;96.64
2012M03;97.63
2012M04;98.09
2012M05;98.00
2012M06;97.89
2012M07;97.52
2012M08;97.87
2012M09;98.48
2012M10;98.75
2012M11;98.62
2012M12;98.95
2013M01;98.16
2013M02;98.56
2013M03;99.46
2013M04;99.45
2013M05;99.55
2013M06;99.60
2013M07;99.20
2013M08;99.33
2013M09;99.74
2013M10;99.66
2013M11;99.58
2013M12;99.92
2014M01;99.04
2014M02;99.36
2014M03;100.07
2014M04;100.25
2014M05;100.16
2014M06;100.26
2014M07;99.74
2014M08;99.84
2014M09;100.15
2014M10;100.14
2014M11;99.93
2014M12;99.84
2015M01;98.57
2015M02;99.07
2015M03;99.97
2015M04;100.36
2015M05;100.62
2015M06;100.59
2015M07;100.12
2015M08;100.11
2015M09;100.23
2015M10;100.34
2015M11;100.01
2015M12;100.02
2016M01;98.83
2016M02;98.98
2016M03;99.93
2016M04;100.13
2016M05;100.48
2016M06;100.65
2016M07;100.28
2016M08;100.34
2016M09;100.64
2016M10;100.87
2016M11;100.65
2016M12;101.16
2017M01;100.49
2017M02;100.93
2017M03;101.58
2017M04;102.10
2017M05;102.09
2017M06;102.15
2017M07;101.83
2017M08;102.08
2017M09;102.44
2017M10;102.55
2017M11;102.50
2017M12;102.82
2018M01;102.12
2018M02;102.35
2018M03;103.17
2018M04;103.60
2018M05;104.16
2018M06;104.28
2018M07;104.12
2018M08;104.32
2018M09;104.66
2018M10;104.91
2018M11;104.51
2018M12;104.50
2019M01;103.64
2019M02;104.02
2019M03;104.87